survey,load_cmd,cy_data,wt,source,year,notes
eb16,"eb16 <- read_dta( ""gesis_files/ZA1207/ZA1207_v1-0-1.dta"")","data_frame(v5 = 1:11,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE""), y_dcpo=1981)","wt16 <- eb16$v7; wt[grep(""DE"", ""NL"", ""DK"", ""IE"", eb16$isocntry)] <- eb16$v6[grep(""DE"", ""NL"", ""DK"", ""IE"", eb16$isocntry)];  wt[grep(""GB\\-"", eb16$isocntry)] <- eb12$v8[grep(""GB\\-"", eb16$isocntry)]",GESIS: ZA1207,1981,
eb17,"eb17 <- read_dta( ""gesis_files/ZA1208/ZA1208_v1-0-1.dta"")","data_frame(v5 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE""), y_dcpo=1982)","wt17-sc <- eb17$v7[grep( , eb17$v150:eb17$v234)]; wt17EU-sc <- eb17$v8[grep( , eb17$v150:eb17$v234)]; wt17-youth <- eb17$v9[grep( , eb17$v13:eb17$v142)]; wt17EU-youth <- eb17$v10[grep( , eb17$v13:eb17$v142)]; wt17-combination <- eb17$v11[grep( , eb17$v143:eb17$v149)]; wt17EU-youth <- eb17$v12[grep( , eb17$v143:eb17$v149)]",GESIS: ZA1208,1982,"(1)Beginning in EuroBaro 17, the UL weight will no longer be a separate variable; the weighting factor for the U.K. will be embedded in the naitonal weights"
eb18,"eb18 <- read_dta( ""gesis_files/ZA1209/ZA1209_v1-0-1.dta"")","data_frame(v5 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE""), y_dcpo=1982)",wt18 <- eb18$v7; wt18EU <- eb18$v8,GESIS: ZA1209,1982,
eb19,"eb19 <- read_dta( ""gesis_files/ZA1318/ZA1318_v1-0-1.dta"")","data_frame(v5 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE""), y_dcpo=1983)",wt19 <- eb19$v6; wt19EU <- eb19$v9,GESIS: ZA1318,1983,"including a specific ""National Weight II"", v8(National Weight, without the Uk weight factor), which should be used with V7(with the two UK weight factors) and V6(countrycode separate Great Britain and Northern Ireland)"
eb20,"eb20 <- read_dta( ""gesis_files/ZA1319/ZA1319_v1-0-1.dta"")","data_frame(v5 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE""), y_dcpo=1983)",wt20 <- eb20$v6; wt20EU <- eb20$v9,GESIS: ZA1319,1983,
eb21,"eb21 <- read_dta( ""gesis_files/ZA1320/ZA1320_v1-0-1.dta"")","data_frame(v5 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE""), y_dcpo=1984)",wt21 <- eb21$v6; wt21EU <- eb21$v9,GESIS: ZA1320,1984,
eb22,"eb22 <- read_dta( ""gesis_files/ZA1321/ZA1321_v1-0-1.dta"")","data_frame(v5 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE""), y_dcpo=1984)",wt22 <- eb22$v6; wt22EU <- eb22$v9,GESIS: ZA1321,1984,
eb23,"eb23 <- read_dta( ""gesis_files/ZA1541/ZA1541_v1-0-1.dta"")","data_frame(v5 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE""), y_dcpo=1985)",wt23 <- eb23$v6; wt23EU <- eb23$v9,GESIS: ZA1541,1985,
eb24,"eb24 <- read_dta( ""gesis_files/ZA1542/ZA1542_v1-0-1.dta"")","data_frame(v5 = 1:12,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL""), y_dcpo=1985)",wt24 <- eb24$v6; wt24EU <- eb24$v9,GESIS: ZA1542,1985,
eb25,"eb25 <- read_dta( ""gesis_files/ZA1543/ZA1543_v1-0-1.dta"")","data_frame(v5 = 1:12,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL""), y_dcpo=1986)",wt25 <- eb25$v6; wt25EU <- eb25$v9,GESIS: ZA1543,1986,
eb26,"eb26 <- read_dta( ""gesis_files/ZA1544/ZA1544_v1-0-1.dta"")","data_frame(v5 = 1:12,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL""), y_dcpo=1986)",wt26 <- eb26$v6; wt26EU <- eb26$v9,GESIS: ZA1544,1986,
eb27,"eb27 <- read_dta( ""gesis_files/ZA1712/ZA1712_v1-0-1.dta"")","data_frame(v5 = 1:12,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL""), y_dcpo=1987)",wt27 <- eb27$v6; wt27EU <- eb27$v9,GESIS: ZA1712,1987,
eb28,"eb28 <- read_dta( ""gesis_files/ZA1713/ZA1713_v1-1-0.dta"")","data_frame(v5 = 1:12,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL""), y_dcpo=1987)",wt28 <- eb28$v6; wt28EU <- eb28$v9,GESIS: ZA1713,1987,
eb281,"eb281 <- read_dta( ""gesis_files/ZA2041/ZA2041_v1-0-1.dta"")","data_frame(v6 = 1:12,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL""), y_dcpo=1987)",wt281 <- eb281$v7; wt281EU <- eb281$v10,GESIS: ZA2041,1987,
eb29,"eb29 <- read_dta( ""gesis_files/ZA1714/ZA1714_v1-0-1.dta"")","data_frame(v5 = 1:12,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL""), y_dcpo=1988)",wt29 <- eb29$v6; wt29EU <- eb29$v9,GESIS: ZA1714,1988,
eb30,"eb30 <- read_dta( ""gesis_files/ZA1715/ZA1715_v1-0-1.dta"")","data_frame(v5 = 1:12,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL""), y_dcpo=1988)",wt30 <- eb30$v6; wt30EU <- eb30$v9,GESIS: ZA1715,1988,
eb31,"eb31 <- read_dta( ""gesis_files/ZA1750/ZA1750_v1-0-1.dta"")","data_frame(v5 = 1:12,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL""), y_dcpo=1989)",wt31 <- eb31$v6; wt31EU <- eb31$v9,GESIS: ZA1750,1989,
eb31A,"eb31A <- read_dta( ""gesis_files/ZA1751/ZA1751_v1-0-1.dta"")","data_frame(v5 = 1:12,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL""), y_dcpo=1989)",wt31A <- eb31A$v6; wt31AEU <- eb31A$v9,GESIS: ZA1751,1989,
eb32,"eb32 <- read_dta( ""gesis_files/ZA1752/ZA1752_v1-1-0.dta"")","data_frame(v5 = 1:12,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL""), y_dcpo=1989)",wt32 <- eb32$v6; wt32EU <- eb32$v8,GESIS: ZA1752,1989,two Euro Weight; Euro Weight I: the same as Euro Weight Before; Euro Weight II:does not include Spain and Portugal(weighted as 0)       
eb33,"eb33 <- read_dta( ""gesis_files/ZA1753/ZA1753_v1-1-0.dta"")","data_frame(v5 = 1:12,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL""), y_dcpo=1990)",wt33 <- eb33$v6; wt33EU <- eb33$v8,GESIS: ZA1753,1990,three Euro Weights: v8; v9(exclude Spain and Portugal) and v10(only founder members)
eb34,"eb34 <- read_dta( ""gesis_files/ZA1960/ZA1960_v1-0-1.dta"")","data_frame(v6 = 1:14, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY""), y_dcpo=1990)","wt34 <- eb34$v7; wt[grep(""DE\\-"", eb34$isocntry)] <- eb34$v12[grep(""DE\\-"", eb34$isocntry)]",GESIS: ZA1960,1990,"unlike the ""National Weight I"" in earlier eb (up to 31), the ""weight special United Kingdom"", v7, adjusts all samples to the standard size; also, Norway is excluded (weighted as 0)"
eb341,"eb341 <- read_dta( ""gesis_files/ZA1961/ZA1961_v1-0-1.dta"")","data_frame(v6 = 1:13, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY""), y_dcpo=1990)","wt341 <- eb341$v7; wt[grep(""DE\\-"", eb341$isocntry)] <- eb341$v11[grep(""DE\\-"", eb341$isocntry)]",GESIS: ZA1961,1990,Norway is excluded in this survey
eb342,"eb342 <- read_dta( ""gesis_files/ZA1962/ZA1962_v1-0-1.dta"")","data_frame(v6 = 1:13, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY""), y_dcpo=1990)","wt342 <- eb342$v7; wt[grep(""DE\\-"", eb342$isocntry)] <- eb342$v11[grep(""DE\\-"", eb342$isocntry)]",GESIS: ZA1962,1990,
eb35,"eb35 <- read_dta( ""gesis_files/ZA2031/ZA2031_v1-1-0.dta"")","data_frame(v6 = 1:13, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY""), y_dcpo=1991)","wt35 <- eb35$v7; wt[grep(""DE\\-"", eb35$isocntry)] <- eb35$v12[grep(""DE\\-"", eb35$isocntry)]",GESIS: ZA2031,1991,
eb351,"eb351 <- read_dta( ""gesis_files/ZA2032/ZA2032_v1-0-1.dta"")","data_frame(v6 = 1:13, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY""), y_dcpo=1991)","wt351 <- eb351$v7; wt[grep(""DE\\-"", eb351$isocntry)] <- eb351$v12[grep(""DE\\-"", eb351$isocntry)]",GESIS: ZA2032,1991,
eb35A,"eb35A <- read_dta( ""gesis_files/ZA2033/ZA2033_v1-0-1.dta"")","data_frame(v6 = 1:14, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY""), y_dcpo=1991)","wt35A <- eb35A$v7; wt[grep(""DE\\-"", eb35A$isocntry)] <- eb35A$v10[grep(""DE\\-"", eb35A$isocntry)]",GESIS: ZA2033,1991,"Northern Ireland is not included, neither normal ""Nation Weight I"" nor ""Weight Special United Kingdom"" in eb 34; there is only v7, ""Weight_A Result from Target"" but it corresponds to ""Nation Weight II"" in earlier Eb up to 31
"
eb36,"eb36 <- read_dta( ""gesis_files/ZA2081/ZA2081_v1-1-0.dta"")","data_frame(v6 = 1:14, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY""), y_dcpo=1991)","wt36 <- eb36$v7; wt[grep(""DE\\-"", eb36$isocntry)] <- eb36$v12[grep(""DE\\-"", eb36$isocntry)]",GESIS: ZA2081,1991,Nation II: N.Ireland is not included
eb37,"eb37 <- read_dta( ""gesis_files/ZA2141/ZA2141_v1-1-0.dta"")","data_frame(v5 = 1:14, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY""), y_dcpo=1992)","wt37 <- eb37$v6; wt[grep(""DE\\-"", eb37$isocntry)] <- eb37$v11[grep(""DE\\-"", eb37$isocntry)]",GESIS: ZA2141,1992,
eb371,"eb371 <- read_dta( ""gesis_files/ZA2241/ZA2241_v1-0-1.dta"")","data_frame(v6 = 1:13, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY""), y_dcpo=1992)","wt371 <- eb371$v7; wt[grep(""DE\\-"", eb371$isocntry)] <- eb371$v12[grep(""DE\\-"", eb371$isocntry)]",GESIS: ZA2241,1992,
eb372,"eb372 <- read_dta( ""gesis_files/ZA2242/ZA2242_v1-0-1.dta"")","data_frame(v9 = 1:13, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY(EAST+WEST)"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL""), y_dcpo=1992)",wt372 <- eb372$v10,GESIS: ZA2242,1992,excluding Northern Ireland; thus I use NATION III(United Germany) instead of NATION II(Separate Germany)
eb37+371,"eb37371 <- read_dta( ""gesis_files/ZA2243/ZA2243_v1-1-0.dta"")","data_frame(v6 = 1:14, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY""), y_dcpo=1992)","wt37371 <- eb37371$v7; wt[grep(""DE\\-"", eb37371$isocntry)] <- eb37371$v12[grep(""DE\\-"", eb37371$isocntry)]",GESIS: ZA2243,1992,
eb38,"eb38 <- read_dta( ""gesis_files/ZA2294/ZA2294_v1-1-0.dta"")","data_frame(v5 = 1:14, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY""), y_dcpo=1992)","wt38 <- eb38$v6; wt[grep(""DE\\-"", eb38$isocntry)] <- eb38$v11[grep(""DE\\-"", eb38$isocntry)]",GESIS: ZA2294,1992,
